paper_title,doi,doi_url,folder_num
Effect of crystallographic orientation on the corrosion resistance of Ni-based single crystal superalloys,10.1016/j.prostr.2023.10.075,https://doi.org/10.1016/j.prostr.2023.10.075,2
The effect of tensile stress on oxidation behavior of nickel-base single crystal superalloy,10.1016/j.prostr.2023.10.075,https://doi.org/10.1016/j.prostr.2023.10.075,3
Investigation of the ordered and disordered corrosion morphologies on Ni-based alloy in the passive state,10.1016/j.jmst.2019.02.006,https://doi.org/10.1016/j.jmst.2019.02.006,4
Evolution of residual stress and its impact on Ni-based superalloy,10.1016/j.jmrt.2022.10.047,https://doi.org/10.1016/j.jmrt.2022.10.047,5
Fatigue crack growth behaviour of an alternative single crystal nickel base superalloy,10.1016/j.addma.2022.103301,https://doi.org/10.1016/j.addma.2022.103301,6
Thermal gradient mechanical fatigue assessment of a nickel-based superalloy,10.1016/j.addma.2021.102416,https://doi.org/10.1016/j.addma.2021.102416,7
Crack closure of Ni-based superalloy 718 at high negative stress ratios,10.1016/j.jallcom.2018.08.063,https://doi.org/10.1016/j.jallcom.2018.08.063,8
Improving high temperature fretting fatigue performance of nickel-based single crystal superalloy by shot peening,10.1016/j.jmrt.2022.02.077,https://doi.org/10.1016/j.jmrt.2022.02.077,9
Very high cycle fatigue of a notched Ni-based single crystal superalloy at high temperature,10.1016/j.jmrt.2022.02.077,https://doi.org/10.1016/j.jmrt.2022.02.077,10
Tribo-induced surface structure of Nickel-based superalloy at elevated temperature,10.1016/j.jmrt.2023.02.124,https://doi.org/10.1016/j.jmrt.2023.02.124,11
Insights into the static friction behavior of Ni-based superalloys,10.1016/j.jallcom.2020.154455,https://doi.org/10.1016/j.jallcom.2020.154455,12
Diffusion aluminide coating modified via electroless nickel plating for Ni-based superalloy protection,10.1016/j.jallcom.2020.155019,https://doi.org/10.1016/j.jallcom.2020.155019,13
Corrosion and wear behaviors of Inconel 718 nickel-based alloy by boroaluminizing,10.1016/j.jallcom.2020.154455,https://doi.org/10.1016/j.jallcom.2020.154455,14
Effect of alloy 625 buffer layer on corrosion resistance of nickel base hardfacing,10.1016/j.matdes.2025.115288,https://doi.org/10.1016/j.matdes.2025.115288,15
Foreign object damage characteristics of a thin nickel-based superalloy plate at room and high temperatures,10.1016/j.proeng.2017.10.973,https://doi.org/10.1016/j.proeng.2017.10.973,16
A comparative study of rafting mechanisms of Ni-based single crystal superalloys,10.1016/j.matdes.2019.108423,https://doi.org/10.1016/j.matdes.2019.108423,17
Substrate stimulating technique for Ni-based single crystal superalloy preparation during direction solidification,10.1016/j.jallcom.2020.155019,https://doi.org/10.1016/j.jallcom.2020.155019,19
Influence of precipitation hardening on the high-temperature sliding wear resistance of an aluminium alloyed iron-nickel base alloy,10.1016/j.addma.2025.104854,https://doi.org/10.1016/j.addma.2025.104854,20
Influence of residual stress on the high-temperature tribological performance of nickel-based superalloy,10.1016/j.rinp.2019.102767,https://doi.org/10.1016/j.rinp.2019.102767,22
Hydrogen environment embrittlement in nickel-base superalloy Alloy 617,10.1016/j.addma.2024.104597,https://doi.org/10.1016/j.addma.2024.104597,23
Impact resistance and energy absorption characteristics of nickel-based alloy ring at elevated temperatures,10.1016/j.jmrt.2024.10.157,https://doi.org/10.1016/j.jmrt.2024.10.157,24
An intermediate temperature creep model for Ni-based superalloys,10.1016/j.jmrt.2023.02.124,https://doi.org/10.1016/j.jmrt.2023.02.124,25
A model for dislocation creep in polycrystalline Ni-base superalloys at intermediate temperatures,10.1016/j.matdes.2025.114170,https://doi.org/10.1016/j.matdes.2025.114170,26
σ and η Phase formation in advanced polycrystalline Ni-base superalloys,10.1016/j.matdes.2023.111693,https://doi.org/10.1016/j.matdes.2023.111693,28
The creep deformation mechanisms of a newly designed nickel-base superalloy,10.1016/j.jallcom.2018.02.268,https://doi.org/10.1016/j.jallcom.2018.02.268,29
Hot ductility behavior of AD730™ nickel-base superalloy,10.1016/j.jallcom.2020.154455,https://doi.org/10.1016/j.jallcom.2020.154455,30
On the hydrogen embrittlement behavior of nickel-based alloys: Alloys 718 and 725,10.1016/j.jmrt.2024.02.137,https://doi.org/10.1016/j.jmrt.2024.02.137,31
Low cycle fatigue of a single crystal CoNi-base superalloy,10.1016/j.prostr.2023.10.075,https://doi.org/10.1016/j.prostr.2023.10.075,32
Deformation mechanisms in single crystal Ni-based concentrated solid solution alloys by nanoindentation,10.1016/j.actamat.2018.04.035,https://doi.org/10.1016/j.actamat.2018.04.035,33
In-situ fatigue behavior study of a nickel-based single-crystal superalloy with different orientations,10.1016/j.matdes.2023.111693,https://doi.org/10.1016/j.matdes.2023.111693,34
Damage nucleation during transverse creep of a directionally solidified Ni-based superalloy,10.1016/j.jmrt.2024.10.157,https://doi.org/10.1016/j.jmrt.2024.10.157,35
Time-dependent crack growth mechanism in Ni-based single crystal superalloys at high-temperature,10.1016/j.addma.2025.104854,https://doi.org/10.1016/j.addma.2025.104854,36
Hydrogen induced activation of cross slip in Ni-based single crystal superalloy,10.1016/j.matdes.2019.108423,https://doi.org/10.1016/j.matdes.2019.108423,37
An investigation of micro-mechanisms in hydrogen induced cracking in nickel-based superalloy 718,10.1016/j.prostr.2023.10.075,https://doi.org/10.1016/j.prostr.2023.10.075,38
Effects of alloying elements of nickel-based alloys on the hot-corrosion behavior in an electrolytic reduction process,10.1016/j.jmst.2019.02.006,https://doi.org/10.1016/j.jmst.2019.02.006,39
The influence of heat treatments on the corrosion behaviour of nickel-based alloy 718,10.1016/j.jmrt.2025.06.119,https://doi.org/10.1016/j.jmrt.2025.06.119,40
Microstructures and tensile properties of a grain-size gradient nickel-based superalloy,10.1016/j.jmrt.2023.02.124,https://doi.org/10.1016/j.jmrt.2023.02.124,41
Influence of hydrogen on the γ-matrix lattice parameters of a Ni-based superalloy – A synchrotron diffraction study,10.1016/j.procir.2022.06.071,https://doi.org/10.1016/j.procir.2022.06.071,42
Formation of the Surface Eutectic of a Ni-based Single Crystal Superalloy,10.1016/j.prostr.2023.10.075,https://doi.org/10.1016/j.prostr.2023.10.075,43
Plastic deformation behavior of a nickel-based superalloy on the mesoscopic scale,10.1016/j.matdes.2023.111693,https://doi.org/10.1016/j.matdes.2023.111693,44
Deformation micro-twinning arising at high temperatures in a Ni-Co-based superalloy,10.1016/j.actamat.2018.04.035,https://doi.org/10.1016/j.actamat.2018.04.035,45
Stress-rupture behavior of a Re-containing Ni-base single crystal superalloy at high temperatures,10.1016/j.msea.2021.140983,https://doi.org/10.1016/j.msea.2021.140983,46
Irradiation-induced damage evolution in concentrated Ni-based alloys,10.1016/j.jmrt.2025.10.158,https://doi.org/10.1016/j.jmrt.2025.10.158,47
Re segregation at interfacial dislocation network in a nickel-based superalloy,10.1016/j.jmrt.2024.10.157,https://doi.org/10.1016/j.jmrt.2024.10.157,48
New alloy design approach to inhibiting hot cracking in laser additive manufactured nickel-based superalloys,10.1016/j.matdes.2024.113176,https://doi.org/10.1016/j.matdes.2024.113176,49
Role of alloy composition on micro-cracking mechanisms in additively manufactured Ni-based superalloys,10.1016/j.matdes.2018.10.038,https://doi.org/10.1016/j.matdes.2018.10.038,50
The origin of the straight propagation of the σ phase in a Ni-based single crystal superalloy at elevated temperature,10.1016/j.jmrt.2023.02.124,https://doi.org/10.1016/j.jmrt.2023.02.124,51
Lower temperature deformation mechanisms in a γ″-strengthened Ni-base superalloy,10.1016/j.actamat.2018.04.035,https://doi.org/10.1016/j.actamat.2018.04.035,52
Study of microstructure of nickel-based superalloys at high temperatures,10.1016/j.jmrt.2023.02.124,https://doi.org/10.1016/j.jmrt.2023.02.124,53
Deposition-based synthesis of nickel-based superalloy microlattices,10.1016/j.matchar.2016.07.025,https://doi.org/10.1016/j.matchar.2016.07.025,54
In-situ observation of hydrogen induced crack initiation in a nickel-based superalloy,10.1016/j.prostr.2023.10.075,https://doi.org/10.1016/j.prostr.2023.10.075,55
On the rhenium segregation at the low angle grain boundary in a single crystal Ni-base superalloy,10.1016/j.matdes.2019.108423,https://doi.org/10.1016/j.matdes.2019.108423,56
On the oxygen-induced hot cracking in a direct laser deposited Ni-based superalloy,10.1016/j.jmrt.2022.03.035,https://doi.org/10.1016/j.jmrt.2022.03.035,57
The effect of γ matrix channel width on the compositional evolution in a multi-component nickel-based superalloy,10.1016/j.prostr.2023.10.075,https://doi.org/10.1016/j.prostr.2023.10.075,58
Deformation mechanisms of primary γ′ precipitates in nickel-based superalloy,10.1016/j.jmrt.2025.10.158,https://doi.org/10.1016/j.jmrt.2025.10.158,59
Effects of Cr on twinning in Ni-based superalloys,10.1016/j.prostr.2023.10.075,https://doi.org/10.1016/j.prostr.2023.10.075,60
Influence of oxygen on performance of multi-principal element alloy as braze filler for Ni-base alloys,10.1016/j.procir.2022.06.071,https://doi.org/10.1016/j.procir.2022.06.071,61
Directional recrystallization of an additively manufactured Ni-base superalloy,10.1016/j.jmrt.2024.10.157,https://doi.org/10.1016/j.jmrt.2024.10.157,62
Surface modification of Ti-based alloy by selective laser melting of Ni-based superalloy powder,10.1016/j.jmrt.2021.07.037,https://doi.org/10.1016/j.jmrt.2021.07.037,63
Shear thickening polishing of the concave surface of high-temperature nickel-based alloy turbine blade,10.1016/j.jmrt.2025.05.140,https://doi.org/10.1016/j.jmrt.2025.05.140,64
Potential for carbide dispersive precipitation strengthening Ni-based alloy for high temperature,10.1016/j.jallcom.2023.170407,https://doi.org/10.1016/j.jallcom.2023.170407,65
Hydrogen embrittlement prompt fracture in Ni-based single crystal superalloy,10.1016/j.addma.2024.104597,https://doi.org/10.1016/j.addma.2024.104597,66
Microalloying effects of Y on performance of cast nickel-based superalloy IN713C,10.1016/j.jmrt.2022.02.077,https://doi.org/10.1016/j.jmrt.2022.02.077,67
Evolution of high-temperature hardness of multimodal γ′ nickel-based superalloy,10.1016/j.msea.2021.141111,https://doi.org/10.1016/j.msea.2021.141111,68
Pulsing-induced healing of a surface crack of a nickel-based alloy,10.1016/j.jmrt.2024.10.157,https://doi.org/10.1016/j.jmrt.2024.10.157,69
Potential of carbide strengthened economical wrought nickel-based alloy for high temperature,10.1016/j.matdes.2017.01.069,https://doi.org/10.1016/j.matdes.2017.01.069,70
Microstructural rejuvenation in a Ni-based single crystal superalloy,10.1016/j.matchar.2016.07.025,https://doi.org/10.1016/j.matchar.2016.07.025,71
New insight on study of Ni-base alloy clad layer after oxidation at 650 C,10.1016/j.corsci.2019.01.013,https://doi.org/10.1016/j.corsci.2019.01.013,1
,,,
,,,
